accsym,syn,sym,taxon
SCPA5,,SCPA5,Scleria pauciflora
SCPAC,,SCPAC,Scleria pauciflora var. caroliniana
SCPAC2,,SCPAC2,Scleria pauciflora var. curtissii
SCCIG,SCPAG,SCPAG,Scleria pauciflora var. glabra
SCPAP2,SCPAK,SCPAK,Scleria pauciflora var. kansana
SCPAP2,,SCPAP2,Scleria pauciflora var. pauciflora
SCPO8,,SCPO8,Scleria polycarpa
SCPT,,SCPT,Scleria pterota
SCPTM,,SCPTM,Scleria pterota var. melaleuca
SCPTP,,SCPTP,Scleria pterota var. pterota
SCPU7,,SCPU7,Scleria purdiei
SCPU15,,SCPU15,Scleria purpurascens
SCRE,,SCRE,Scleria reticularis
SCMU8,SCREP,SCREP,Scleria reticularis var. pubescens
SCRE,SCREP2,SCREP2,Scleria reticularis var. pumila
SCRU8,,SCRU8,Scleria rugosa
SCSC6,,SCSC6,Scleria scabriuscula
SCSC2,,SCSC2,Scleria scindens
SCSC11,,SCSC11,Scleria scrobiculata
SCSE4,,SCSE4,Scleria secans
SCMU8,SCSE2,SCSE2,Scleria setacea
SCMU8,SCST5,SCST5,Scleria stevensiana
SCSU9,,SCSU9,Scleria sumatrensis
SCVE2,SCTE8,SCTE8,Scleria tenella
SCTE6,,SCTE6,Scleria testacea
SCTR,,SCTR,Scleria triglomerata
SCVE2,,SCVE2,Scleria verticillata
SCLER10,,SCLER10,Sclerocactus
SCSPB,SCBL,SCBL,Sclerocactus blainei
ANBR17,SCBR11,SCBR11,Sclerocactus brevihamatus
ANBR17,SCBRB2,SCBRB2,Sclerocactus brevihamatus ssp. brevihamatus
ANTO3,SCBRT,SCBRT,Sclerocactus brevihamatus ssp. tobuschii
SCBR12,,SCBR12,Sclerocactus brevispinus
SCPAP,SCCL5,SCCL5,Sclerocactus cloveriae
SCPAP,SCCLB,SCCLB,Sclerocactus cloveriae ssp. brackii
SCPAP,SCCLC,SCCLC,Sclerocactus cloveriae ssp. cloveriae
SCPAP,SCCO8,SCCO8,Sclerocactus contortus
ECER2,SCER2,SCER2,Sclerocactus erectocentrus
SCGL3,,SCGL3,Sclerocactus glaucus
SCPAH,SCHA12,SCHA12,Sclerocactus havasupaiensis
SCPAI2,SCIN5,SCIN5,Sclerocactus intermedius
ECIN2,SCIN4,SCIN4,Sclerocactus intertextus
ECIN2,SCIND,SCIND,Sclerocactus intertextus var. dasyacanthus
ECIN2,SCINI,SCINI,Sclerocactus intertextus var. intertextus
ECJO3,SCJO,SCJO,Sclerocactus johnsonii
ECMA2,SCMA6,SCMA6,Sclerocactus mariposensis
SCME4,,SCME4,Sclerocactus mesae-verdae
SCNY,,SCNY,Sclerocactus nyensis
SCPA10,,SCPA10,Sclerocactus papyracanthus
SCPA9,,SCPA9,Sclerocactus parviflorus
SCPAH,,SCPAH,Sclerocactus parviflorus ssp. havasupaiensis
SCPAI2,,SCPAI2,Sclerocactus parviflorus ssp. intermedius
SCPAP,,SCPAP,Sclerocactus parviflorus ssp. parviflorus
SCPAT,,SCPAT,Sclerocactus parviflorus ssp. terrae-canyonae
SCPAI2,SCPAB,SCPAB,Sclerocactus parviflorus var. blessingiae
SCPAI2,SCPAI,SCPAI,Sclerocactus parviflorus var. intermedius
SCPO4,,SCPO4,Sclerocactus polyancistrus
SCPU6,,SCPU6,Sclerocactus pubispinus
SCSI3,SCPUS,SCPUS,Sclerocactus pubispinus var. sileri
SCSPS2,SCPUS2,SCPUS2,Sclerocactus pubispinus var. spinosior
ANSC,SCSC4,SCSC4,Sclerocactus scheeri
SCSPB,SCSC5,SCSC5,Sclerocactus schlesseri
SCSI3,,SCSI3,Sclerocactus sileri
SCSP2,,SCSP2,Sclerocactus spinosior
SCSPB,,SCSPB,Sclerocactus spinosior ssp. blainei
SCSPS2,,SCSPS2,Sclerocactus spinosior ssp. spinosior
SCPAT,SCTE7,SCTE7,Sclerocactus terrae-canyonae
GLUN,SCUN4,SCUN4,Sclerocactus uncinatus
GLUNW,SCUNW2,SCUNW2,Sclerocactus uncinatus ssp. wrightii
GLUNU,SCUNU5,SCUNU5,Sclerocactus uncinatus var. uncinatus
GLUNW,SCUNW,SCUNW,Sclerocactus uncinatus var. wrightii
ECWA3,SCWA,SCWA,Sclerocactus warnockii
SCWE,,SCWE,Sclerocactus wetlandicus
SCBR12,SCWEI,SCWEI,Sclerocactus wetlandicus var. ilseae
SCWH,,SCWH,Sclerocactus whipplei
SCGL3,SCWHG,SCWHG,Sclerocactus whipplei var. glaucus
SCPAP,SCWHH,SCWHH,Sclerocactus whipplei var. heilii
SCBR12,SCWI2,SCWI2,Sclerocactus whipplei var. ilseae
SCPAI2,SCWHI,SCWHI,Sclerocactus whipplei var. intermedius
SCPAP,SCWHR,SCWHR,Sclerocactus whipplei var. reevesii
SCPAP,SCWHR2,SCWHR2,Sclerocactus whipplei var. roseus
SCSPS2,SCWHS,SCWHS,Sclerocactus whipplei var. spinosior
SCWR,,SCWR,Sclerocactus wrightiae
SCLER3,,SCLER3,Sclerocarpus
SCAF,,SCAF,Sclerocarpus africanus
SCUN2,,SCUN2,Sclerocarpus uniserialis
SCUNA,,SCUNA,Sclerocarpus uniserialis var. austrotexanus
SCUNU,,SCUNU,Sclerocarpus uniserialis var. uniserialis
SCLER14,,SCLER14,Sclerocarya
SCBI3,,SCBI3,Sclerocarya birrea
SCCA16,,SCCA16,Sclerocarya caffra
SCLER4,,SCLER4,Sclerochloa
SCDU2,,SCDU2,Sclerochloa dura
SCLER5,,SCLER5,Sclerolepis
SCUN3,,SCUN3,Sclerolepis uniflora
SCLER9,,SCLER9,Sclerolinon
SCDI5,,SCDI5,Sclerolinon digynum
SCLER12,,SCLER12,Sclerophora
SCAM10,,SCAM10,Sclerophora amabilis
SCCO22,,SCCO22,Sclerophora coniophaea
SCFA2,,SCFA2,Sclerophora farinacea
SCNI4,,SCNI4,Sclerophora nivea
SCPE10,,SCPE10,Sclerophora peronella
SCLER13,,SCLER13,Sclerophyton
SCCA14,,SCCA14,Sclerophyton californicum
SCIN8,,SCIN8,Sclerophyton inscriptum
SCOC8,,SCOC8,Sclerophyton occidentale
CARI2,SCRI3,SCRI3,Scleropoa rigida
SCLER11,,SCLER11,Scleropodium
SCCES,SCAP2,SCAP2,Scleropodium apocladum
SCCES,SCAPO,SCAPO,Scleropodium apocladum var. obtusum
SCCEC5,SCCA19,SCCA19,Scleropodium caespitosum
SCCES,SCCAS,SCCAS,Scleropodium caespitosum var. sublaeve
SCCA17,,SCCA17,Scleropodium californica
SCCA32,,SCCA32,Scleropodium californicum
SCCE5,,SCCE5,Scleropodium cespitans
SCCEC5,,SCCEC5,Scleropodium cespitans var. cespitans
SCCES,SCCEL,SCCEL,Scleropodium cespitans var. laeve
SCCES,,SCCES,Scleropodium cespitans var. sublaeve
SCTOC,SCCO9,SCCO9,Scleropodium colpophyllum
SCTOC,SCCOA,SCCOA,Scleropodium colpophyllum var. attenuatum
SCTOT,SCIL,SCIL,Scleropodium illecebrum
SCJU3,,SCJU3,Scleropodium julaceum
SCOB5,,SCOB5,Scleropodium obtusifolium
SCTO2,,SCTO2,Scleropodium touretii
SCTOC,,SCTOC,Scleropodium touretii var. colpophyllum
SCTOT,,SCTOT,Scleropodium touretii var. touretii
SCLER7,,SCLER7,Scleropogon
SCBR2,,SCBR2,Scleropogon brevifolius
SCBR2,SCLO3,SCLO3,Scleropogon longisetus
SCLER15,,SCLER15,Sclerostachya
SCFU4,,SCFU4,Sclerostachya fusca
SCOLI2,,SCOLI2,Scoliciosporum
SCCH4,,SCCH4,Scoliciosporum chlorococcum
SCSA7,,SCSA7,Scoliciosporum sarothamni
SCUM2,,SCUM2,Scoliciosporum umbrinum
SCUMC,,SCUMC,Scoliciosporum umbrinum var. compacta
SCOLI,,SCOLI,Scoliopus
SCBI,,SCBI,Scoliopus bigelovii
SCHA2,,SCHA2,Scoliopus hallii
SCOLO,,SCOLO,Scolochloa
SCFE,,SCFE,Scolochloa festucacea
SCOLO2,,SCOLO2,Scolosanthus
SCPO9,SCDE3,SCDE3,Scolosanthus densiflorus
SCGR5,,SCGR5,Scolosanthus grandifolius
SCGR5,SCMU5,SCMU5,Scolosanthus multiflorus
SCPO9,,SCPO9,Scolosanthus portoricensis
SCVE4,,SCVE4,Scolosanthus versicolor
SCOLY,,SCOLY,Scolymus
SCHI,SCGR7,SCGR7,Scolymus grandiflorus
SCHI,,SCHI,Scolymus hispanicus
SCMA5,,SCMA5,Scolymus maculatus
SCOPA,,SCOPA,Scoparia
SCDU3,,SCDU3,Scoparia dulcis
SCFL9,,SCFL9,Scoparia flava
SCMO7,,SCMO7,Scoparia montevidensis
SCMOG,,SCMOG,Scoparia montevidensis var. glandulifera
SCOPE,,SCOPE,Scopelophila
SCCA18,,SCCA18,Scopelophila cataractae
CRLA10,SCLA10,SCLA10,Scopelophila latifolia
SCLI13,,SCLI13,Scopelophila ligulata
SCOPO,,SCOPO,Scopolia
SCCA6,,SCCA6,Scopolia carniolica
SCOPU,,SCOPU,Scopulophila
SCRI2,,SCRI2,Scopulophila rixfordii
SCORP2,,SCORP2,Scorpidium
LICO16,SCCO18,SCCO18,Scorpidium cossonii
DRBR70,SCLA11,SCLA11,Scorpidium latifolium
LIRE13,SCRE7,SCRE7,Scorpidium revolvens
SCSC70,,SCSC70,Scorpidium scorpioides
CATR27,SCTR8,SCTR8,Scorpidium trifarium
PSTU70,SCTU70,SCTU70,Scorpidium turgescens
HAVE70,SCVE7,SCVE7,Scorpidium vernicosum
SCORP,,SCORP,Scorpiurus
SCMU3,,SCMU3,Scorpiurus muricatus
SCMU3,SCSU5,SCSU5,Scorpiurus subvillosus
SCMU3,SCSU3,SCSU3,Scorpiurus sulcatus
SCVE8,,SCVE8,Scorpiurus vermiculatus
MILAL,SCLA7,SCLA7,Scorzonella laciniata
MILAL2,SCLAB,SCLAB,Scorzonella laciniata var. bolanderi
MILAL,SCLAP,SCLAP,Scorzonella laciniata var. pratensis
MILAL2,SCLE2,SCLE2,Scorzonella leachiana
MILAL2,SCLE4,SCLE4,Scorzonella leptosepala
MINU,SCNU4,SCNU4,Scorzonella nutans
MINU,SCNUM,SCNUM,Scorzonella nutans var. major
MILAL,SCPR2,SCPR2,Scorzonella procera
NOTR2,SCTR6,SCTR6,Scorzonella troximoides
SCORZ,,SCORZ,Scorzonera
SCHI2,,SCHI2,Scorzonera hispanica
SCLA6,,SCLA6,Scorzonera laciniata
LEAU2,SCAU8,SCAU8,Scorzoneroides autumnalis
SCOUL,,SCOUL,Scouleria
SCAQ2,,SCAQ2,Scouleria aquatica
SCMA10,,SCMA10,Scouleria marginata
SCSI8,,SCSI8,Scouleria siskiyouensis
SCRIB,,SCRIB,Scribneria
SCBO,,SCBO,Scribneria bolanderi
SCROP,,SCROP,Scrophularia
SCUM,SCAQ,SCAQ,Scrophularia aquatica
SCAT3,,SCAT3,Scrophularia atrata
SCAU7,,SCAU7,Scrophularia auriculata
SCCA2,,SCCA2,Scrophularia californica
SCCAC,,SCCAC,Scrophularia californica ssp. californica
SCCAF2,,SCCAF2,Scrophularia californica ssp. floribunda
SCDE,SCCAD,SCCAD,Scrophularia californica var. desertorum
SCCAF2,SCCAF,SCCAF,Scrophularia californica var. floribunda
SCCAF2,SCCAL,SCCAL,Scrophularia californica var. laciniata
SCOR,SCCAO,SCCAO,Scrophularia californica var. oregana
SCCA20,,SCCA20,Scrophularia canina
SCCAC2,,SCCAC2,Scrophularia canina ssp. canina
SCCAH,,SCCAH,Scrophularia canina ssp. hoppii
SCMA7,SCCO5,SCCO5,Scrophularia coccinea
SCPA6,SCDA,SCDA,Scrophularia davidsonii
SCDE,,SCDE,Scrophularia desertorum
SCCAF2,SCFL8,SCFL8,Scrophularia floribunda
SCPA6,SCGL9,SCGL9,Scrophularia glabrata
SCCAH,SCHO5,SCHO5,Scrophularia hoppii
SCLA5,,SCLA5,Scrophularia laevis
SCLA,,SCLA,Scrophularia lanceolata
SCLA,SCLE6,SCLE6,Scrophularia leporella
SCMA7,,SCMA7,Scrophularia macrantha
SCMA2,,SCMA2,Scrophularia marilandica
SCMI8,,SCMI8,Scrophularia minutiflora
SCMO4,,SCMO4,Scrophularia montana
SCCAF2,SCMU9,SCMU9,Scrophularia multiflora
SCMA7,SCNE3,SCNE3,Scrophularia neomexicana
SCNO2,,SCNO2,Scrophularia nodosa
SCCAC,SCNOC,SCNOC,Scrophularia nodosa var. californica
SCLA,SCOC11,SCOC11,Scrophularia occidentalis
SCOR,,SCOR,Scrophularia oregana
SCPA6,,SCPA6,Scrophularia parviflora
SCLA,SCPE8,SCPE8,Scrophularia pectinata
SCPE11,,SCPE11,Scrophularia peregrina
SCUM,,SCUM,Scrophularia umbrosa
SCVI,,SCVI,Scrophularia villosa
SCUTE,,SCUTE,Scutellaria
SCAL2,,SCAL2,Scutellaria alabamensis
SCAL3,,SCAL3,Scutellaria altamaha
SCINA,SCALA,SCALA,Scutellaria altamaha ssp. australis
SCAL4,,SCAL4,Scutellaria altissima
SCPAM,SCAM4,SCAM4,Scutellaria ambigua
SCAN3,,SCAN3,Scutellaria angustifolia
SCANA2,,SCANA2,Scutellaria angustifolia ssp. angustifolia
SCANM,,SCANM,Scutellaria angustifolia ssp. micrantha
SCSI6,SCANC,SCANC,Scutellaria angustifolia var. canescens
SCAN4,,SCAN4,Scutellaria antirrhinoides
SCAR3,,SCAR3,Scutellaria arenicola
SCAR4,,SCAR4,Scutellaria arguta
SCSI6,SCAU,SCAU,Scutellaria austiniae
SCPAA2,SCAU5,SCAU5,Scutellaria australis
SCBO2,,SCBO2,Scutellaria bolanderi
SCBOA,,SCBOA,Scutellaria bolanderi ssp. austromontana
SCBOB,,SCBOB,Scutellaria bolanderi ssp. bolanderi
SCWR2,SCBR9,SCBR9,Scutellaria brevifolia
SCBR3,,SCBR3,Scutellaria brittonii
SCBU,,SCBU,Scutellaria bushii
SCCA31,,SCCA31,Scutellaria caerulea
SCCA3,,SCCA3,Scutellaria californica
SCCA4,,SCCA4,Scutellaria cardiophylla
SCOVO,SCCO4,SCCO4,Scutellaria cordifolia
SCOVC2,SCCU5,SCCU5,Scutellaria cuthbertii
SCDR2,,SCDR2,Scutellaria drummondii
SCDRD,,SCDRD,Scutellaria drummondii var. drummondii
SCDRE,,SCDRE,Scutellaria drummondii var. edwardsiana
SCDRR,,SCDRR,Scutellaria drummondii var. runyonii
SCEL,,SCEL,Scutellaria elliptica
SCELE,,SCELE,Scutellaria elliptica var. elliptica
SCELH,,SCELH,Scutellaria elliptica var. hirsuta
SCGA,SCEP2,SCEP2,Scutellaria epilobiifolia
SCFL4,,SCFL4,Scutellaria floridana
SCGA,,SCGA,Scutellaria galericulata
SCGA,SCGAP3,SCGAP3,Scutellaria galericulata ssp. pubescens
SCGA,SCGAE,SCGAE,Scutellaria galericulata var. epilobiifolia
SCGA,SCGAP,SCGAP,Scutellaria galericulata var. pubescens
SCGL4,,SCGL4,Scutellaria glabriuscula
SCHA6,,SCHA6,Scutellaria havanensis
SCDRD,SCHE7,SCHE7,Scutellaria helleri
SCNA,SCHO3,SCHO3,Scutellaria holmgreniorum
SCIN,,SCIN,Scutellaria incana
SCIN2,SCINH2,SCINH2,Scutellaria incana ssp. hispida
SCINA,,SCINA,Scutellaria incana var. australis
SCINI2,,SCINI2,Scutellaria incana var. incana
SCINP,,SCINP,Scutellaria incana var. punctata
SCIN2,,SCIN2,Scutellaria integrifolia
SCIN2,SCINH,SCINH,Scutellaria integrifolia var. hispida
SCMU4,SCINM,SCINM,Scutellaria integrifolia var. multiglandulosa
SCLA4,,SCLA4,Scutellaria laevis
SCLA2,,SCLA2,Scutellaria lateriflora
SCLAL2,,SCLAL2,Scutellaria lateriflora var. lateriflora
SCPAM,SCLE,SCLE,Scutellaria leonardii
SCINA,SCME5,SCME5,Scutellaria mellichampii
SCMI6,,SCMI6,Scutellaria microphylla
SCRA,SCMI14,SCMI14,Scutellaria minor
SCMO6,,SCMO6,Scutellaria montana
SCMU4,,SCMU4,Scutellaria multiglandulosa
SCMU2,,SCMU2,Scutellaria muriculata
SCNA,,SCNA,Scutellaria nana
SCSA6,SCNAS,SCNAS,Scutellaria nana var. sapphirina
SCNE2,,SCNE2,Scutellaria nervosa
SCPAM,SCNEA,SCNEA,Scutellaria nervosa var. ambigua
SCNE2,SCNEC,SCNEC,Scutellaria nervosa var. calvifolia
SCOC2,,SCOC2,Scutellaria ocmulgee
SCELE,SCOV2,SCOV2,Scutellaria ovalifolia
SCELH,SCOVH,SCOVH,Scutellaria ovalifolia ssp. hirsuta
SCELE,SCOVM2,SCOVM2,Scutellaria ovalifolia ssp. mollis
SCOV,,SCOV,Scutellaria ovata
SCOVB,,SCOVB,Scutellaria ovata ssp. bracteata
SCOVO,SCOVC3,SCOVC3,Scutellaria ovata ssp. calcarea
SCOVC2,,SCOVC2,Scutellaria ovata ssp. cuthbertii
SCOVM,,SCOVM,Scutellaria ovata ssp. mexicana
SCOVO,SCOVM3,SCOVM3,Scutellaria ovata ssp. mississippiensis
SCOVO,,SCOVO,Scutellaria ovata ssp. ovata
SCOVP,,SCOVP,Scutellaria ovata ssp. pseudoarguta
SCOVO,SCOVP3,SCOVP3,Scutellaria ovata ssp. pseudovenosa
SCOVR,,SCOVR,Scutellaria ovata ssp. rugosa
SCOVR2,,SCOVR2,Scutellaria ovata ssp. rupestris
SCOVV2,,SCOVV2,Scutellaria ovata ssp. venosa
SCOVO,SCOVV5,SCOVV5,Scutellaria ovata ssp. versicolor
SCOVV3,,SCOVV3,Scutellaria ovata ssp. virginiana
SCOVB,SCOVB2,SCOVB2,Scutellaria ovata var. bracteata
SCOVO,SCOVC,SCOVC,Scutellaria ovata var. calcarea
SCOVP,SCOVP2,SCOVP2,Scutellaria ovata var. pseudoarguta
SCOVR,SCOVR3,SCOVR3,Scutellaria ovata var. rugosa
SCOVO,SCOVV,SCOVV,Scutellaria ovata var. versicolor
SCOVV3,SCOVV4,SCOVV4,Scutellaria ovata var. virginiana
SCPA7,,SCPA7,Scutellaria parvula
SCPAA2,,SCPAA2,Scutellaria parvula var. australis
SCPAM,SCPAL,SCPAL,Scutellaria parvula var. leonardii
SCPAM,,SCPAM,Scutellaria parvula var. missouriensis
SCPAP3,,SCPAP3,Scutellaria parvula var. parvula
SCELE,SCPI2,SCPI2,Scutellaria pilosa
SCPOP4,SCPL5,SCPL5,Scutellaria platyphylla
SCPO5,,SCPO5,Scutellaria potosina
SCPOT,SCPOP,SCPOP,Scutellaria potosina ssp. parviflora
SCPOP2,,SCPOP2,Scutellaria potosina ssp. platyphylla
SCPOP4,,SCPOP4,Scutellaria potosina ssp. platyphylla var. platyphylla
SCPOP3,,SCPOP3,Scutellaria potosina ssp. potosina
SCPOD,,SCPOD,Scutellaria potosina ssp. potosina var. davisiana
SCPOG2,,SCPOG2,Scutellaria potosina ssp. potosina var. grahamiana
SCPOT,,SCPOT,Scutellaria potosina ssp. potosina var. tessellata
SCPOG2,,SCPOG2,Scutellaria potosina var. grahamiana
SCPOG2,SCPOG,SCPOG,Scutellaria potosina var. grahmiana
SCPOK,,SCPOK,Scutellaria potosina var. kaibabensis
SCPS,,SCPS,Scutellaria pseudoserrata
SCINP,SCPU8,SCPU8,Scutellaria punctata
SCRA,,SCRA,Scutellaria racemosa
SCRE3,,SCRE3,Scutellaria resinosa
SCWR2,SCREB,SCREB,Scutellaria resinosa var. brevifolia
SCSA6,,SCSA6,Scutellaria sapphirina
SCSA5,,SCSA5,Scutellaria saxatilis
SCAR4,SCSAP,SCSAP,Scutellaria saxatilis var. pilosior
SCSE5,,SCSE5,Scutellaria serrata
SCMO6,SCSEM,SCSEM,Scutellaria serrata var. montana
SCSI6,,SCSI6,Scutellaria siphocampyloides
SCSI6,SCSI,SCSI,Scutellaria siphocamyploides
SCPOT,SCTE4,SCTE4,Scutellaria tessellata
SCTE15,,SCTE15,Scutellaria texana
SCTH,,SCTH,Scutellaria thieretii
SCTU2,,SCTU2,Scutellaria tuberosa
SCTU2,SCTUA,SCTUA,Scutellaria tuberosa ssp. australis
SCTU2,SCTUS2,SCTUS2,Scutellaria tuberosa ssp. similis
SCTU2,SCTUS,SCTUS,Scutellaria tuberosa var. similis
SCANA2,SCVE5,SCVE5,Scutellaria veronicifolia
SCRE3,SCWR4,SCWR4,Scutellaria wrightii
SCWR2,,SCWR2,Scutellaria wrightii
SCCH2,,SCCH2,Scutellaria ×churchilliana
SCUTU,,SCUTU,Scutula
SCMI12,,SCMI12,Scutula miliaris
SCST8,,SCST8,Scutula stereocaulorum
SCMI12,SCTU3,SCTU3,Scutula tuberculosa
SCYBA,,SCYBA,Scybalium
SCJA,,SCJA,Scybalium jamaicense
SCYPH,,SCYPH,Scyphiphora
SCHY,,SCHY,Scyphiphora hydrophylacea
SCHY,SCHY5,SCHY5,Scyphiphora hydrophyllacea
SCHY5,,SCHY5,Scyphiphora hydrophyllacea
SEARS3,,SEARS3,Searsia
SELA10,,SELA10,Searsia lancea
SEBAS2,,SEBAS2,Sebastiania
SEBI9,,SEBI9,Sebastiania bilocularis
MICO20,SECO7,SECO7,Sebastiania corniculata
DIFR6,SEFR,SEFR,Sebastiania fruticosa
DIFR6,SELI7,SELI7,Sebastiania ligustrina
CORI,SERI5,SERI5,Sebesten rickseckeri
COSE2,SESE12,SESE12,Sebesten sebestena
SECAL,,SECAL,Secale
SECE,,SECE,Secale cereale
SECE,SEMO,SEMO,Secale montanum
EROR7,SEOR8,SEOR8,Secale orientale
SECE,SEST10,SEST10,Secale strictum
SECHI,,SECHI,Sechium
SEED,,SEED,Sechium edule
GYGE2,SEGE2,SEGE2,Secoligia geoica
AEHII,SEHI4,SEHI4,Secula histrix
AEVI,SEVI9,SEVI9,Secula viscidula
SECUR,,SECUR,Securidaca
SEDI6,,SEDI6,Securidaca diversifolia
SEVI5,,SEVI5,Securidaca virgata
DAMO3,SEVO,SEVO,Securidaca volubilis
SECUR3,,SECUR3,Securigera
SECR8,,SECR8,Securigera cretica
SEGL12,,SEGL12,Securigera globosa
SEOR9,,SEOR9,Securigera orientalis
SEPA17,,SEPA17,Securigera parviflora
SESE80,,SESE80,Securigera securidaca
SEVA4,,SEVA4,Securigera varia
FLAC,SEAC3,SEAC3,Securinega acidoton
SEDEL,,SEDEL,Sedella
SECO6,,SECO6,Sedella congdonii
SELE7,,SELE7,Sedella leiocarpa
SEPE3,,SEPE3,Sedella pentandra
SEPU4,,SEPU4,Sedella pumila
SEDUM,,SEDUM,Sedum
SEAC,,SEAC,Sedum acre
PHAI,SEAI80,SEAI80,Sedum aizoon
RHINI,SEAL9,SEAL9,Sedum alaskanum
SEAL2,,SEAL2,Sedum albomarginatum
HYER3,SEAL3,SEAL3,Sedum alboroseum
SEAL,,SEAL,Sedum album
SEAN4,,SEAN4,Sedum annuum
SEOC,SEAN5,SEAN5,Sedum anopetalum
SEBO2,,SEBO2,Sedum borschii
HYCA22,SECA21,SECA21,Sedum cauticola
SERAC,SECI4,SECI4,Sedum ciliosum
SECI6,,SECI6,Sedum citrinum
SECO,,SECO,Sedum cockerellii
DISM3,SECY5,SECY5,Sedum cymosum
SEDA2,,SEDA2,Sedum dasyphyllum
SEDE,,SEDE,Sedum debile
SEDE8,,SEDE8,Sedum dendroideum
SEDI13,,SEDI13,Sedum diffusum
SEDI,,SEDI,Sedum divergens
SELE,SEDI10,SEDI10,Sedum divericatum
SESTS2,SEDO3,SEDO3,Sedum douglasii
SERAC,SEDOC,SEDOC,Sedum douglasii ssp. ciliosum
SERAR,SEDOR,SEDOR,Sedum douglasii ssp. radiatum
SEEA2,,SEEA2,Sedum eastwoodiae
PHAI,SEEL3,SEEL3,Sedum ellacombianum
HYER3,SEER6,SEER6,Sedum erythrostictum
HYTEF,SEFA2,SEFA2,Sedum fabaria
SEFO3,,SEFO3,Sedum forsterianum
SEMO5,SEGL6,SEGL6,Sedum glanduliferum
SEGL3,,SEGL3,Sedum glaucophyllum
SECO,SEGR,SEGR,Sedum griffithsii
SEHA,,SEHA,Sedum havardii
SELAH,SEHE5,SEHE5,Sedum heckneri
SEHI,,SEHI,Sedum hispanicum
PHHY3,SEHY6,SEHY6,Sedum hybridum
RHINI,SEIN4,SEIN4,Sedum integrifolium
RHINL,SEINL,SEINL,Sedum integrifolium ssp. leedyi
RHINN,SEINN,SEINN,Sedum integrifolium ssp. neomexicanum
RHINP,SEINP,SEINP,Sedum integrifolium ssp. procerum
SEKA,,SEKA,Sedum kamtschaticum
PHAI,SEKAE,SEKAE,Sedum kamtschaticum ssp. ellacombianum
SELA,,SELA,Sedum lanceolatum
SELAL,,SELAL,Sedum lanceolatum ssp. lanceolatum
SELAN2,,SELAN2,Sedum lanceolatum ssp. nesioticum
SELAS,,SELAS,Sedum lanceolatum ssp. subalpinum
SELAN2,SELAN3,SELAN3,Sedum lanceolatum var. nesioticum
SERU3,SELAR2,SELAR2,Sedum lanceolatum var. rupicola
SELA2,,SELA2,Sedum laxum
SEEA2,SELAE,SELAE,Sedum laxum ssp. eastwoodiae
SELAF,,SELAF,Sedum laxum ssp. flavidum
SELAH,,SELAH,Sedum laxum ssp. heckneri
SELAL2,SELAL3,SELAL3,Sedum laxum ssp. latifolium
SELAL2,,SELAL2,Sedum laxum ssp. laxum
SELAL2,SELAP,SELAP,Sedum laxum ssp. perplexum
SEOBR,SELAR3,SELAR3,Sedum laxum ssp. retusum
SELE,,SELE,Sedum leibergii
SEBO2,SELEB,SELEB,Sedum leibergii var. borschii
SELE,SELET,SELET,Sedum leibergii var. typicum
SELI10,,SELI10,Sedum lineare
SEME3,,SEME3,Sedum mexicanum
SEMO2,,SEMO2,Sedum moranense
SEMO5,,SEMO5,Sedum moranii
SENA,,SENA,Sedum nanifolium
SENE,,SENE,Sedum nevii
SENI,,SENI,Sedum niveum
SENU,,SENU,Sedum nuttallianum
SEOB3,,SEOB3,Sedum oblanceolatum
SEOB,,SEOB,Sedum obtusatum
SEOBB,,SEOBB,Sedum obtusatum ssp. boreale
SEOBO,,SEOBO,Sedum obtusatum ssp. obtusatum
SEPA15,SEOBP2,SEOBP2,Sedum obtusatum ssp. paradisum
SEOBR,,SEOBR,Sedum obtusatum ssp. retusum
SEOC,,SEOC,Sedum ochroleucum
SEOR,,SEOR,Sedum oreganum
SEORO,,SEORO,Sedum oreganum ssp. oreganum
SEORT,,SEORT,Sedum oreganum ssp. tenue
SEOR2,,SEOR2,Sedum oregonense
SEPA15,,SEPA15,Sedum paradisum
SENA,SEPA8,SEPA8,Sedum parvum
SENA,SEPAN,SEPAN,Sedum parvum ssp. nanifolium
SENI,SEPI2,SEPI2,Sedum pinetorum
SEPR2,,SEPR2,Sedum praealtum
SEPU,,SEPU,Sedum pulchellum
SESPP2,SEPU10,SEPU10,Sedum purdyi
HYTET2,SEPU5,SEPU5,Sedum purpureum
SEPU6,,SEPU6,Sedum pusillum
SERA4,,SERA4,Sedum radiatum
SERAC,,SERAC,Sedum radiatum ssp. ciliosum
SERAD,,SERAD,Sedum radiatum ssp. depauperatum
SERAR,,SERAR,Sedum radiatum ssp. radiatum
SERE4,,SERE4,Sedum reflexum
RHRH4,SERH,SERH,Sedum rhodanthum
SENA,SERO7,SERO7,Sedum robertsianum
RHRO3,SERO2,SERO2,Sedum rosea
RHINI,SEROI3,SEROI3,Sedum rosea ssp. integrifolium
RHINI,SEROA,SEROA,Sedum rosea var. alaskanum
RHINI,SEROF,SEROF,Sedum rosea var. frigidum
RHINI,SEROI2,SEROI2,Sedum rosea var. integrifolium
RHINL,SEROL,SEROL,Sedum rosea var. leedyi
RHRO3,SEROR,SEROR,Sedum rosea var. roanense
RHRO3,SERO10,SERO10,Sedum roseum
