"Scientific.Name","AGCP","AW","CB","EMP","GP","HI","MW","NCNE","WMVC","AK","other"
"Cayaponia quinqueloba",0.5,NA,NA,0.5,0.5,NA,0.5,NA,NA,NA,NA
"Cayratia trifolia",NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA
"Cecropia schreberiana",NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA
"Cedrela odorata",NA,NA,0,NA,NA,0.25,NA,NA,NA,NA,NA
"Celastrus orbiculatus",0.25,NA,NA,0.25,0,NA,0,0.25,NA,NA,NA
"Celastrus scandens",0.25,0.25,NA,0.25,0,NA,0.25,0.25,0.25,NA,NA
"Celosia argentea",0.5,NA,0,0.25,0,0.25,0,0,NA,NA,NA
"Celtis laevigata",0.75,0.5,NA,0.75,0.5,NA,0.75,NA,0.75,NA,NA
"Celtis occidentalis",0.25,0.5,NA,0.25,0.25,NA,0.5,0.5,0.25,NA,NA
"Celtis reticulata",0,0.5,NA,0,0,NA,0,NA,0.25,NA,NA
"Cenchrus americanus",0.25,0,NA,0.25,0.25,0,0.25,0.25,0.25,NA,NA
"Cenchrus brownii",0.25,NA,0,NA,0.25,NA,NA,NA,NA,NA,NA
"Cenchrus ciliaris",0,0,0,0,0,0.25,0,0,0,NA,NA
"Cenchrus clandestinus",NA,0.25,0,NA,NA,0.25,NA,NA,0.25,NA,NA
"Cenchrus echinatus",0,0.25,0,0,0,0.25,NA,NA,0,NA,NA
"Cenchrus longispinus",0.25,0,NA,0,0,NA,0,0,0,NA,NA
"Cenchrus myosuroides",0.5,0.25,0,NA,0.25,NA,NA,NA,NA,NA,NA
"Cenchrus polystachios",0.5,0.5,0,NA,0.25,0.25,NA,NA,NA,NA,NA
"Cenchrus purpureus",0.5,0.25,0.5,NA,0.5,0.5,NA,NA,NA,NA,NA
"Cenchrus tribuloides",0.25,NA,0,0,NA,0,NA,0,NA,NA,NA
"Centaurea X moncktonii",0.5,0.25,NA,0.5,0.25,NA,0.25,0.25,0.5,NA,NA
"Centaurea cyanus",0.25,0.25,NA,0.25,0.25,0.25,0.25,0,0.25,0,NA
"Centaurea jacea",0.25,0.25,NA,0.25,0.25,NA,0.25,0.25,0.25,NA,NA
"Centaurium erythraea",0.5,0.5,NA,0.5,NA,0,0.25,0.5,0.5,NA,NA
"Centaurium pulchellum",0.25,0.25,NA,0.5,0.25,NA,0.25,0.5,0.25,NA,NA
"Centaurium tenuiflorum",0.75,0.75,NA,NA,0.75,NA,NA,NA,0.75,NA,NA
"Centella asiatica",NA,NA,NA,NA,NA,0.5,NA,NA,0.5,NA,NA
"Centella erecta",0.75,NA,0.75,0.75,0.75,NA,0.75,NA,NA,NA,NA
"Centipeda minima",0.5,0.5,NA,0.25,NA,NA,NA,0,NA,NA,NA
"Centratherum punctatum",0.25,NA,0.25,NA,NA,0.25,NA,NA,NA,NA,NA
"Centromadia fitchii",NA,0.25,NA,NA,NA,NA,NA,NA,0.25,NA,NA
"Centromadia parryi",NA,0.75,NA,NA,NA,NA,NA,NA,0.5,NA,NA
"Centromadia pungens",NA,0.5,NA,NA,NA,NA,NA,0.5,0,NA,NA
"Centrosema pubescens",NA,NA,0,NA,NA,0.5,NA,NA,NA,NA,NA
"Cephalanthus occidentalis",1,1,NA,1,1,NA,1,1,1,NA,NA
"Cephalanthus salicifolius",1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"Cerastium arvense",0.25,0.25,NA,0,0.25,NA,0.25,0.25,0.25,0.5,NA
"Cerastium axillare",NA,0.25,NA,NA,0.5,NA,NA,NA,0.25,NA,NA
"Cerastium beeringianum",NA,0.25,NA,NA,0.5,NA,NA,NA,0.25,0.5,NA
"Cerastium brachypodum",0.25,0.5,NA,0.25,0.25,NA,0.25,0.25,0.5,NA,NA
"Cerastium fischerianum",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,NA
"Cerastium fontanum",0.5,0.25,NA,0.25,0.25,0.25,0.25,0.25,0.25,0.25,NA
"Cerastium glomeratum",0.25,0,NA,0,0.25,0,0.25,0.25,0.25,0,NA
"Cerastium nutans",0.25,0.25,NA,0.5,0.5,NA,0.25,0.25,0.25,NA,NA
"Cerastium regelii",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,NA
"Ceratophyllum demersum",1,1,1,1,1,1,1,1,1,1,NA
"Ceratophyllum echinatum",1,NA,NA,1,1,NA,1,1,1,NA,NA
"Ceratophyllum muricatum",1,NA,NA,1,NA,NA,NA,1,NA,NA,NA
"Ceratopteris gaudichaudii",NA,NA,NA,NA,NA,0.75,NA,NA,NA,NA,NA
"Ceratopteris pteridoides",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ceratopteris richardii",1,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"Ceratopteris thalictroides",1,1,1,NA,1,1,NA,NA,NA,NA,NA
"Cerbera dilatata",NA,NA,NA,NA,NA,0.25,NA,NA,NA,NA,NA
"Cercis canadensis",0,0,NA,0.25,0,NA,0.25,0.25,0,NA,NA
"Cestrum diurnum",0,NA,0,NA,0,0.25,NA,NA,NA,NA,NA
"Cestrum laurifolium",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA
"Cestrum nocturnum",0,0,0,0,0,0.25,NA,NA,NA,NA,NA
"Chaerophyllum procumbens",0.75,NA,NA,0.75,0.5,NA,0.75,0.5,NA,NA,NA
"Chaerophyllum tainturieri",0.5,0.5,NA,0.5,0.5,NA,0.25,0.25,0.5,NA,NA
"Chamaecrista diphylla",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA
"Chamaecrista fasciculata",0.25,0.25,NA,0.25,0.25,NA,0.25,0.25,0.25,NA,NA
"Chamaecrista nictitans",0.25,NA,0.25,0.25,0.25,0.25,0.25,0.25,NA,NA,NA
"Chamaecyparis lawsoniana",NA,0.25,NA,NA,0.25,NA,NA,NA,0.25,NA,NA
"Chamaecyparis thyoides",1,NA,NA,1,NA,NA,NA,1,NA,NA,NA
"Chamaedaphne calyculata",1,NA,NA,1,1,NA,1,1,NA,0.75,NA
"Chamaelirium luteum",0.25,NA,NA,0.5,NA,NA,0.25,0.25,NA,NA,NA
"Chamaenerion angustifolium",0.25,0.25,NA,0.5,0.5,NA,0.5,0.5,0.25,0.25,NA
"Chamaenerion latifolium",NA,0.75,NA,NA,NA,NA,NA,NA,0.75,0.5,NA
"Chamissoa altissima",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA
"Chaptalia tomentosa",0.75,NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA
"Chasmanthium latifolium",0.5,0.5,NA,0.25,0.25,NA,0.75,0.75,0.5,NA,NA
"Chasmanthium laxum",0.75,NA,NA,0.5,0.5,NA,0.75,0.75,NA,NA,NA
"Chasmanthium nitidum",0.75,NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA
"Chasmanthium ornithorhynchum",0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chasmanthium sessiliflorum",0.5,NA,NA,0.5,0.5,NA,0.5,NA,NA,NA,NA
"Cheilanthes tenuifolia",NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA
"Cheilocostus speciosus",NA,NA,0.5,NA,NA,0.5,NA,NA,NA,NA,NA
"Cheirodendron dominii",NA,NA,NA,NA,NA,0.75,NA,NA,NA,NA,NA
"Cheirodendron fauriei",NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA
"Cheirodendron forbesii",NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA
"Cheirodendron platyphyllum",NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA
"Cheirodendron trigynum",NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA
"Chelidonium majus",0,0.25,NA,0,0.25,NA,0,0,0.25,NA,NA
"Chelone cuthbertii",1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"Chelone glabra",1,NA,NA,1,1,NA,1,1,NA,NA,NA
"Chelone lyonii",0.75,NA,NA,0.75,NA,NA,NA,0.75,0.75,NA,NA
"Chelone obliqua",1,NA,NA,1,1,NA,1,1,NA,NA,NA
"Chenopodium album",0.25,0.25,NA,0.25,0.25,0,0.25,0.25,0.25,0.25,NA
"Chenopodium chenopodioides",NA,0.75,NA,NA,0.75,NA,NA,0.75,0.5,NA,NA
"Chenopodium foliosum",NA,0.25,NA,NA,0.25,NA,0.25,0.25,0.25,NA,NA
"Chenopodium fremontii",0.25,0.25,NA,0.25,0.25,NA,0,0.25,0.25,NA,NA
"Chenopodium glaucum",0.5,0.5,NA,0.75,0.5,NA,0.75,0.75,0.5,0.5,NA
"Chenopodium leptophyllum",NA,0.25,NA,NA,0.25,NA,0.25,0.25,0.25,0.25,NA
"Chenopodium macrospermum",0.75,0.75,NA,0.75,NA,NA,NA,NA,0.75,NA,NA
"Chenopodium murale",0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,NA,NA
"Chenopodium rubrum",0.75,0.75,NA,0.75,1,NA,1,1,0.75,1,NA
"Chilopsis linearis",0.25,0.5,NA,NA,0.25,NA,NA,NA,0.5,NA,NA
"Chiococca alba",0.5,NA,0,NA,0.25,NA,NA,NA,NA,NA,NA
"Chionanthus virginicus",0.25,NA,NA,0.5,0.25,NA,0.5,0.5,NA,NA,NA
"Chionophila jamesii",NA,0.25,NA,NA,0.25,NA,NA,NA,0.25,NA,NA
"Chloracantha spinosa",0.75,0.5,NA,NA,0.75,NA,NA,NA,0.5,NA,NA
"Chloris barbata",0.25,NA,0.25,NA,0.25,0.25,NA,NA,NA,NA,NA
"Chloris ciliata",0,NA,0.25,NA,0,NA,NA,0,NA,NA,NA
"Chloris gayana",0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,NA,NA
"Chloris radiata",0,NA,0.25,NA,NA,0.25,NA,NA,0,NA,NA
"Chloris virgata",0.25,0.25,NA,0.25,0.25,0.25,0.25,0.25,0.25,NA,NA
"Chloropyron maritimum",NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"Chloropyron molle",NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"Chloropyron palmatum",NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"Chloropyron tecopense",NA,0.75,NA,NA,NA,NA,NA,NA,0.75,NA,NA
"Christella X incesta",NA,NA,NA,NA,NA,0.25,NA,NA,NA,NA,NA
"Christella X palmeri",NA,NA,NA,NA,NA,0.25,NA,NA,NA,NA,NA
"Christella boydiae",NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA
"Christella cyatheoides",NA,NA,NA,NA,NA,0.25,NA,NA,NA,NA,NA
"Christella dentata",0.75,NA,0.25,0.5,0.5,0.5,NA,NA,NA,NA,NA
"Christella hispidula",0.75,NA,0.5,0.25,0.5,NA,NA,NA,NA,NA,NA
"Christella parasitica",NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA
"Chromolaena odorata",0.5,NA,0.25,NA,0.5,0,NA,NA,NA,NA,NA
"Chrysobalanus icaco",0.75,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA
"Chrysoma pauciflosculosa",0.5,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA
"Chrysophyllum argenteum",NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA
"Chrysopogon aciculatus",NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA
"Chrysopogon pauciflorus",0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chrysopogon zizanioides",0.75,NA,0.5,NA,0.75,NA,NA,NA,NA,NA,NA
"Chrysopsis gossypina",0,NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA
"Chrysopsis mariana",0,NA,NA,0,0.25,NA,0,0,NA,NA,NA
"Chrysosplenium americanum",1,NA,NA,1,NA,NA,1,1,NA,NA,NA
"Chrysosplenium glechomifolium",NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"Chrysosplenium iowense",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"Chrysosplenium rosendahlii",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,NA
"Chrysosplenium tetrandrum",NA,1,NA,NA,NA,NA,NA,NA,1,1,NA
"Chrysosplenium wrightii",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA
"Chusquea abietifolia",NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA
"Cibotium X heleniae",NA,NA,NA,NA,NA,0.25,NA,NA,NA,NA,NA
"Cibotium chamissoi",NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA
"Cibotium glaucum",NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA
"Cibotium menziesii",NA,NA,NA,NA,NA,0.25,NA,NA,NA,NA,NA
"Cibotium nealiae",NA,NA,NA,NA,NA,0.25,NA,NA,NA,NA,NA
"Cicendia quadrangularis",NA,0.5,NA,NA,NA,NA,NA,NA,0.75,NA,NA
"Cichorium intybus",0.25,0.25,NA,0.25,0.25,NA,0.25,0.25,0.25,NA,NA
"Cicuta bulbifera",1,1,NA,1,1,NA,1,1,1,1,NA
"Cicuta douglasii",NA,1,NA,NA,1,NA,NA,NA,1,1,NA
"Cicuta maculata",1,1,NA,1,1,NA,1,1,1,1,NA
"Cicuta virosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"Cinna arundinacea",0.75,NA,NA,0.75,0.75,NA,0.75,0.75,NA,NA,NA
"Cinna bolanderi",NA,0.75,NA,NA,NA,NA,NA,NA,0.75,NA,NA
"Cinna latifolia",0.75,0.75,NA,0.75,1,NA,0.75,0.75,0.75,0.75,NA
"Cinnamomum camphora",0,0,0,0.25,0,0,NA,NA,0,NA,NA
"Cinnamomum elongatum",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA
"Circaea alpina",0.75,0.5,NA,0.75,0.75,NA,0.75,0.75,0.5,0.75,NA
"Circaea canadensis",0.25,NA,NA,0.25,0.25,NA,0.25,0.25,0.25,NA,NA
"Cirsium andrewsii",NA,0.5,NA,NA,NA,NA,NA,NA,0.5,NA,NA
"Cirsium arizonicum",NA,0.25,NA,NA,0.5,NA,NA,NA,0.5,NA,NA
"Cirsium arvense",0.25,0.25,NA,0.25,0.25,NA,0.25,0.25,0.5,0.5,NA
"Cirsium crassicaule",NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"Cirsium discolor",0,NA,NA,0,0.25,NA,0.25,0,NA,NA,NA
"Cirsium douglasii",NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"Cirsium drummondii",NA,NA,NA,NA,0.5,NA,NA,NA,0.5,NA,NA
"Cirsium edule",NA,0.5,NA,NA,NA,NA,NA,NA,0.5,0.5,NA
"Cirsium flodmanii",0.5,0.5,NA,0.5,0.5,NA,0.5,0.25,0.5,NA,NA
"Cirsium foliosum",NA,0.5,NA,NA,0.25,NA,NA,NA,0.5,0.25,NA
"Cirsium fontinale",NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"Cirsium horridulum",0.5,NA,NA,0.25,0.5,NA,0.25,0.25,NA,NA,NA
"Cirsium hydrophilum",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cirsium lecontei",0.75,NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA
"Cirsium mohavense",NA,0.25,NA,NA,NA,NA,NA,NA,0.25,NA,NA
"Cirsium muticum",1,NA,NA,1,0.75,NA,1,1,NA,NA,NA
"Cirsium nuttallii",0.5,0.5,NA,0.5,0.5,NA,NA,NA,NA,NA,NA
"Cirsium palustre",NA,NA,NA,NA,NA,NA,0.75,0.75,NA,NA,NA
"Cirsium parryi",NA,0.75,NA,NA,0.75,NA,NA,NA,0.75,NA,NA
"Cirsium pitcheri",NA,NA,NA,NA,NA,NA,0.25,0,NA,NA,NA
"Cirsium scariosum",NA,0.5,NA,NA,0.5,NA,NA,NA,0.5,NA,NA
"Cirsium tracyi",NA,0.25,NA,NA,0.25,NA,NA,NA,0.25,NA,NA
"Cirsium undulatum",0.25,0.25,NA,0.5,0.25,NA,0.25,0.25,0.25,NA,NA
"Cirsium vinaceum",NA,1,NA,NA,1,NA,NA,NA,1,NA,NA
"Cirsium virginianum",0.75,NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA
"Cirsium vulgare",0.25,0.25,NA,0.25,0,0.25,0.25,0.25,0.25,0,NA
"Cirsium wrightii",NA,1,NA,NA,1,NA,NA,NA,1,NA,NA
"Cissus erosa",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA
"Cissus quadrangularis",NA,NA,NA,NA,NA,0.25,NA,NA,NA,NA,NA
"Cissus trifoliata",0,0,0.25,0,0.25,NA,0.5,NA,0,NA,NA
"Cissus verticillata",0.5,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA
"Cistanthe ambigua",NA,0.5,NA,NA,NA,NA,NA,NA,0.5,NA,NA
"Citharexylum caudatum",NA,NA,0.25,NA,NA,0,NA,NA,NA,NA,NA
"Citharexylum spinosum",0.25,NA,0,NA,NA,0.5,NA,NA,NA,NA,NA
"Citrullus lanatus",0,0,0,0,0,NA,0.25,0,0,NA,NA
"Citrus X aurantium",0.25,NA,0,NA,0.25,0.25,NA,NA,NA,NA,NA
"Citrus X limon",0,NA,0,NA,NA,0.25,NA,NA,NA,NA,NA
"Citrus X sinensis",0,NA,0,NA,NA,0.25,NA,NA,NA,NA,NA
"Citrus aurantiifolia",0.25,NA,0,NA,NA,0.25,NA,NA,NA,NA,NA
"Citrus hystrix",NA,NA,NA,NA,NA,0.25,NA,NA,NA,NA,NA
"Citrus macroptera",NA,NA,NA,NA,NA,0.25,NA,NA,NA,NA,NA
"Citrus medica",0.5,NA,0,NA,NA,0,NA,NA,NA,NA,NA
"Citrus reticulata",0,NA,0,NA,NA,0.25,NA,NA,NA,NA,NA
"Cladium californicum",NA,1,NA,NA,1,NA,NA,NA,1,NA,NA
"Cladium mariscoides",1,NA,NA,1,1,NA,1,1,NA,NA,NA
"Cladium mariscus",1,1,1,NA,1,1,NA,NA,1,NA,NA
"Clappia suaedifolia",0.75,NA,NA,NA,0.75,NA,NA,NA,NA,NA,NA
"Claytonia acutifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA
"Claytonia arctica",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA
"Claytonia caroliniana",0.25,NA,NA,0.25,NA,NA,0.25,0.25,NA,NA,NA
"Claytonia cordifolia",NA,0.5,NA,NA,NA,NA,NA,NA,0.5,NA,NA
"Claytonia gypsophiloides",NA,0.25,NA,NA,NA,NA,NA,NA,0.75,NA,NA
"Claytonia lanceolata",NA,0.5,NA,NA,0.75,NA,NA,NA,0.5,NA,NA
"Claytonia megarhiza",NA,0.25,NA,NA,0.25,NA,NA,NA,0.25,NA,NA
"Claytonia multiscapa",NA,0.5,NA,NA,0.5,NA,NA,NA,0.5,0.5,NA
"Claytonia nevadensis",NA,0.5,NA,NA,NA,NA,NA,NA,0.5,NA,NA
"Claytonia palustris",NA,0.75,NA,NA,NA,NA,NA,NA,0.75,NA,NA
"Claytonia parviflora",NA,0.25,NA,NA,NA,NA,NA,NA,0.25,0.25,NA
"Claytonia perfoliata",0.25,0.5,NA,0.25,0.75,NA,NA,0.25,0.5,0.75,NA
"Claytonia sarmentosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA
"Claytonia sibirica",NA,0.5,NA,NA,NA,NA,NA,0.75,0.5,0.75,NA
"Claytonia tuberosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,NA
"Claytonia virginica",0.25,NA,NA,0.5,0.25,NA,0.25,0.25,NA,NA,NA
"Claytonia washingtoniana",NA,0.25,NA,NA,NA,NA,NA,NA,0.25,NA,NA
"Cleistesiopsis divaricata",0.5,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA
"Clematis addisonii",NA,NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA
"Clematis baldwinii",0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clematis catesbyana",0.5,NA,NA,0.5,NA,NA,0.5,NA,NA,NA,NA
"Clematis crispa",0.75,0.75,NA,0.75,0.5,NA,1,NA,NA,NA,NA
"Clematis glaucophylla",0.5,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA
"Clematis ligusticifolia",0.75,0.5,NA,0.75,0.25,NA,0.25,NA,0.5,NA,NA
"Clematis pitcheri",0.25,0.25,NA,0.25,0.25,NA,0.25,0.25,0.25,NA,NA
"Clematis terniflora",0.25,0.25,NA,0.25,0.25,NA,0,0,NA,NA,NA
"Clematis virginiana",0.5,NA,NA,0.5,0.5,NA,0.5,0.5,NA,NA,NA
"Clematis vitalba",0,0.5,NA,0,NA,NA,NA,0.25,0.5,NA,NA
"Cleomella angustifolia",0.5,NA,NA,0.5,0.5,NA,0.5,NA,0.5,NA,NA
"Cleomella brevipes",NA,0.75,NA,NA,NA,NA,NA,NA,0.25,NA,NA
"Cleomella longipes",NA,0.25,NA,NA,0.5,NA,NA,NA,0.25,NA,NA
"Cleomella parviflora",NA,0.75,NA,NA,NA,NA,NA,NA,0.75,NA,NA
"Cleomella plocasperma",NA,0.75,NA,NA,NA,NA,NA,NA,0.75,NA,NA
"Clermontia X leptoclada",NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA
"Clermontia arborescens",NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA
"Clermontia calophylla",NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA
"Clermontia clermontioides",NA,NA,NA,NA,NA,0.25,NA,NA,NA,NA,NA
"Clermontia drepanomorpha",NA,NA,NA,NA,NA,0.75,NA,NA,NA,NA,NA
"Clermontia fauriei",NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA
"Clermontia grandiflora",NA,NA,NA,NA,NA,0.75,NA,NA,NA,NA,NA
"Clermontia hawaiiensis",NA,NA,NA,NA,NA,0.25,NA,NA,NA,NA,NA
"Clermontia kakeana",NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA
"Clermontia kohalae",NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA
"Clermontia micrantha",NA,NA,NA,NA,NA,0.75,NA,NA,NA,NA,NA
"Clermontia oblongifolia",NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA
"Clermontia pallida",NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA
"Clermontia parviflora",NA,NA,NA,NA,NA,0.25,NA,NA,NA,NA,NA
"Clermontia persicifolia",NA,NA,NA,NA,NA,0.25,NA,NA,NA,NA,NA
"Clermontia samuelii",NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA
"Clermontia tuberculata",NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA
"Clermontia waimeae",NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA
"Clerodendrum aculeatum",NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA
"Clerodendrum chinense",0,NA,0,NA,NA,0.5,NA,NA,NA,NA,NA
"Clerodendrum inerme",NA,NA,0.25,NA,NA,0.75,NA,NA,NA,NA,NA
"Clethra alnifolia",0.75,NA,NA,0.5,0.75,NA,NA,0.5,NA,NA,NA
"Clibadium erosum",NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA
"Clidemia cymosa",NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA
"Clidemia hirta",NA,NA,0.75,NA,NA,0.25,NA,NA,NA,NA,NA
"Clidemia strigillosa",NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA
"Cliftonia monophylla",1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"Clinopodium arkansanum",0.75,0.5,NA,0.25,0.5,NA,0.75,0.75,0.5,NA,NA
"Clinopodium brownei",1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"Clinopodium douglasii",NA,0.25,NA,NA,NA,NA,NA,NA,0.25,0.25,NA
"Clintonia borealis",NA,NA,NA,0.5,0.5,NA,0.5,0.5,NA,NA,NA
"Clitoria falcata",NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA
"Clitoria laurifolia",NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA
"Clitoria mariana",0.25,0.25,NA,0.25,0.25,NA,0.25,0.25,0.25,NA,NA
"Clitoria ternatea",0.25,NA,0,0.25,0.25,0,NA,NA,NA,NA,NA
"Clusia clusioides",NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA
"Clusia gundlachii",NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA
"Clusia minor",NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA
"Clusia rosea",0.5,NA,0.25,NA,NA,0.25,NA,NA,NA,NA,NA
"Cnemidaria horrida",NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA
"Cnidium cnidiifolium",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA
"Coccoloba pyrifolia",NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA
"Coccoloba rugosa",NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA
"Coccoloba sintenisii",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA
"Coccoloba swartzii",NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA
"Coccoloba uvifera",0.25,NA,0.25,NA,NA,0.25,NA,NA,NA,NA,NA
"Cocculus carolinus",0.5,0.25,NA,0.5,0.25,NA,0.5,NA,NA,NA,NA
"Cocculus orbiculatus",NA,NA,NA,NA,NA,0.25,NA,NA,NA,NA,NA
"Cochlearia groenlandica",NA,NA,NA,NA,NA,NA,NA,NA,0.75,0.75,NA
"Cochlearia sessilifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,NA
"Cocos nucifera",0,NA,0.25,NA,NA,0.25,NA,NA,NA,NA,NA
"Coeloglossum viride",0.5,0.5,NA,0.25,0.25,NA,0.5,0.5,0.5,0.75,NA
"Coelorachis cylindrica",0.5,NA,NA,0.5,0.5,NA,0.25,0.25,NA,NA,NA
"Coelorachis rugosa",1,NA,NA,1,0.75,NA,NA,NA,NA,NA,NA
"Coelorachis tessellata",0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coelorachis tuberculosa",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coffea arabica",NA,NA,0,NA,NA,0.25,NA,NA,NA,NA,NA
"Coffea liberica",NA,NA,0,NA,NA,0.25,NA,NA,NA,NA,NA
"Coix lacryma-jobi",0.75,0.75,1,0.75,0.75,0.75,0.75,0.75,NA,NA,NA
"Coleanthus subtilis",NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"Coleataenia abscissa",0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coleataenia anceps",0.5,NA,NA,0.5,0.5,NA,0.75,0.75,NA,NA,NA
"Coleataenia longifolia",0.25,NA,NA,0.25,NA,NA,0.25,0.75,NA,NA,NA
"Coleataenia rigidula",0.75,0.75,1,0.75,0.75,NA,0.75,0.75,0.75,NA,NA
"Coleataenia stenodes",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"Coleataenia stipitata",0.75,NA,NA,0.75,0.75,NA,0.75,0.75,NA,NA,NA
"Coleataenia tenera",0.75,NA,1,0.75,0.75,NA,NA,NA,NA,NA,NA
"Collinsia tinctoria",NA,0.25,NA,NA,NA,NA,NA,NA,0.25,NA,NA
"Collinsia verna",0.5,NA,NA,0.5,0.5,NA,0.25,0.25,NA,NA,NA
"Collinsonia canadensis",0.5,NA,NA,0.5,NA,NA,0.5,0.5,NA,NA,NA
