"ac.binomial","Northwest","Southwest","NorthCentral","Southcentral","Northeast","Southeast","Alaska","Hawaii","Caribbean","CanadaWest","CanadaEast","Arctic","Mexico"
"Columnea erythrophaea",0,0,0,0,0,0,0,0,0,0,0,0,1
"Columnea guatemalensis",0,0,0,0,0,0,0,0,0,0,0,0,1
"Columnea hirta",0,0,0,0,0,0,0,0,0,0,0,0,1
"Columnea microcalyx",0,0,0,0,0,0,0,0,0,0,0,0,1
"Columnea nervosa",0,0,0,0,0,0,0,0,0,0,0,0,1
"Columnea purpurata",0,0,0,0,0,0,0,0,0,0,0,0,1
"Columnea purpusii",0,0,0,0,0,0,0,0,0,0,0,0,1
"Columnea scandens",0,0,0,0,0,0,0,0,1,0,0,0,0
"Columnea schiedeana",0,0,0,0,0,0,0,0,0,0,0,0,1
"Columnea sulfurea",0,0,0,0,0,0,0,0,0,0,0,0,1
"Comaclinium montanum",0,0,0,0,0,0,0,0,0,0,0,0,1
"Comandra umbellata",1,1,1,1,1,1,0,0,0,1,1,1,1
"Comarostaphylis arbutoides",0,0,0,0,0,0,0,0,0,0,0,0,1
"Comarostaphylis discolor",0,0,0,0,0,0,0,0,0,0,0,0,1
"Comarostaphylis diversifolia",0,1,0,0,0,0,0,0,0,0,0,0,1
"Comarostaphylis glaucescens",0,0,0,0,0,0,0,0,0,0,0,0,1
"Comarostaphylis lanata",0,0,0,0,0,0,0,0,0,0,0,0,1
"Comarostaphylis longifolia",0,0,0,0,0,0,0,0,0,0,0,0,1
"Comarostaphylis mucronata",0,0,0,0,0,0,0,0,0,0,0,0,1
"Comarostaphylis polifolia",0,0,0,0,0,0,0,0,0,0,0,0,1
"Comarostaphylis sharpii",0,0,0,0,0,0,0,0,0,0,0,0,1
"Comarostaphylis spinulosa",0,0,0,0,0,0,0,0,0,0,0,0,1
"Comarum palustre",1,1,1,0,1,0,1,0,0,1,1,1,1
"Comastoma tenellum",1,1,0,0,0,0,1,0,0,1,1,1,0
"Combretum argenteum",0,0,0,0,0,0,0,0,0,0,0,0,1
"Combretum decandrum",0,0,0,0,0,0,0,0,0,0,0,0,1
"Combretum fruticosum",0,0,0,0,0,0,0,0,0,0,0,0,1
"Combretum igneiflorum",0,0,0,0,0,0,0,0,0,0,0,0,1
"Combretum laxum",0,0,0,0,0,0,0,0,0,0,0,0,1
"Combretum rovirosae",0,0,0,0,0,0,0,0,0,0,0,0,1
"Commelina bambusifolia",0,0,0,0,0,0,0,0,0,0,0,0,1
"Commelina bravoa",0,0,0,0,0,0,0,0,0,0,0,0,1
"Commelina coelestis",0,0,0,0,0,0,0,0,0,0,0,0,1
"Commelina communis",0,0,0,0,0,0,0,0,0,0,0,0,1
"Commelina congestipantha",0,0,0,0,0,0,0,0,0,0,0,0,1
"Commelina dianthifolia",0,1,0,1,0,0,0,0,0,0,0,0,1
"Commelina diffusa",0,0,1,1,1,1,0,0,1,0,0,0,1
"Commelina elliptica",0,0,0,0,0,0,0,0,0,0,0,0,1
"Commelina erecta",0,1,1,1,1,1,0,0,1,0,0,0,1
"Commelina jaliscana",0,0,0,0,0,0,0,0,0,0,0,0,1
"Commelina leiocarpa",0,0,0,0,0,0,0,0,0,0,0,0,1
"Commelina nivea",0,0,0,0,0,0,0,0,0,0,0,0,1
"Commelina obliqua",0,0,0,0,0,0,0,0,0,0,0,0,1
"Commelina queretarensis",0,0,0,0,0,0,0,0,0,0,0,0,1
"Commelina ramosissima",0,0,0,0,0,0,0,0,0,0,0,0,1
"Commelina rufipes",0,0,0,0,0,0,0,0,1,0,0,0,1
"Commelina rzedowskii",0,0,0,0,0,0,0,0,0,0,0,0,1
"Commelina scabra",0,0,0,0,0,0,0,0,0,0,0,0,1
"Commelina socorrogonzaleziae",0,0,0,0,0,0,0,0,0,0,0,0,1
"Commelina standleyi",0,0,0,0,0,0,0,0,0,0,0,0,1
"Commelina texcocana",0,0,0,0,0,0,0,0,0,0,0,0,1
"Commelina tuberosa",0,0,0,0,0,0,0,0,0,0,0,0,1
"Commelina virginica",0,0,1,1,1,1,0,0,0,0,0,0,1
"Commicarpus brandegeei",0,0,0,0,0,0,0,0,0,0,0,0,1
"Commicarpus coctoris",0,0,0,0,0,0,0,0,0,0,0,0,1
"Commicarpus praetermissus",0,0,0,0,0,0,0,0,0,0,0,0,1
"Commicarpus scandens",0,1,0,1,0,0,0,0,1,0,0,0,1
"Comocladia dodonaea",0,0,0,0,0,0,0,0,1,0,0,0,0
"Comocladia glabra",0,0,0,0,0,0,0,0,1,0,0,0,0
"Comocladia guatemalensis",0,0,0,0,0,0,0,0,0,0,0,0,1
"Comocladia macrophylla",0,0,0,0,0,0,0,0,0,0,0,0,1
"Comocladia mollissima",0,0,0,0,0,0,0,0,0,0,0,0,1
"Comocladia palmeri",0,0,0,0,0,0,0,0,0,0,0,0,1
"Comocladia repanda",0,0,0,0,0,0,0,0,0,0,0,0,1
"Comparettia falcata",0,0,0,0,0,0,0,0,1,0,0,0,1
"Comparettia tuerckheimii",0,0,0,0,0,0,0,0,0,0,0,0,1
"Compsoneura mexicana",0,0,0,0,0,0,0,0,0,0,0,0,1
"Compsoneura sprucei",0,0,0,0,0,0,0,0,0,0,0,0,1
"Comptonia peregrina",0,0,1,0,1,1,0,0,0,0,1,0,0
"Condalia brandegeei",0,0,0,0,0,0,0,0,0,0,0,0,1
"Condalia correllii",0,1,0,0,0,0,0,0,0,0,0,0,1
"Condalia ericoides",0,1,0,1,0,0,0,0,0,0,0,0,1
"Condalia fasciculata",0,0,0,0,0,0,0,0,0,0,0,0,1
"Condalia globosa",0,1,0,0,0,0,0,0,0,0,0,0,1
"Condalia hookeri",0,0,0,1,0,0,0,0,0,0,0,0,1
"Condalia mexicana",0,0,0,0,0,0,0,0,0,0,0,0,1
"Condalia mirandana",0,0,0,0,0,0,0,0,0,0,0,0,1
"Condalia sonorae",0,0,0,0,0,0,0,0,0,0,0,0,1
"Condalia spathulata",0,0,0,1,0,0,0,0,0,0,0,0,1
"Condalia velutina",0,0,0,0,0,0,0,0,0,0,0,0,1
"Condalia viridis",0,0,0,1,0,0,0,0,0,0,0,0,1
"Condalia warnockii",0,1,0,1,0,0,0,0,0,0,0,0,1
"Condea albida",0,0,0,0,0,0,0,0,0,0,0,0,1
"Condea americana",0,0,0,0,0,0,0,0,1,0,0,0,0
"Condea anitae",0,0,0,0,0,0,0,0,0,0,0,0,1
"Condea decipiens",0,0,0,0,0,0,0,0,0,0,0,0,1
"Condea emoryi",0,1,0,0,0,0,0,0,0,0,0,0,1
"Condea iodantha",0,0,0,0,0,0,0,0,0,0,0,0,1
"Condea laniflora",0,0,0,0,0,0,0,0,0,0,0,0,1
"Condea macvaughii",0,0,0,0,0,0,0,0,0,0,0,0,1
"Condea mixta",0,0,0,0,0,0,0,0,0,0,0,0,1
"Condea scandens",0,0,0,0,0,0,0,0,0,0,0,0,1
"Condea subtilis",0,0,0,0,0,0,0,0,0,0,0,0,1
"Condea tephrodes",0,0,0,0,0,0,0,0,0,0,0,0,1
"Condea tomentosa",0,0,0,0,0,0,0,0,0,0,0,0,1
"Condea verticillata",0,0,0,0,0,0,0,0,1,0,0,0,1
"Condylidium iresinoides",0,0,0,0,0,0,0,0,1,0,0,0,0
"Condylostylis candida",0,0,0,0,0,0,0,0,0,0,0,0,1
"Conimitella williamsii",1,1,0,0,0,0,0,0,0,1,0,0,0
"Coniogramme pilosa",0,0,0,0,0,0,0,1,0,0,0,0,0
"Conioselinum chinense",0,0,1,0,1,1,0,0,0,0,1,0,0
"Conioselinum mexicanum",0,1,0,0,0,0,0,0,0,0,0,0,1
"Conioselinum pacificum",1,1,0,0,0,0,1,0,0,1,0,0,0
"Conioselinum scopulorum",1,1,0,0,0,0,0,0,0,0,0,0,0
"Connarus lambertii",0,0,0,0,0,0,0,0,0,0,0,0,1
"Connarus lentiginosus",0,0,0,0,0,0,0,0,0,0,0,0,1
"Connarus schultesii",0,0,0,0,0,0,0,0,0,0,0,0,1
"Connarus stenophyllus",0,0,0,0,0,0,0,0,0,0,0,0,1
"Conobea scoparioides",0,0,0,0,0,0,0,0,0,0,0,0,1
"Conocarpus erectus",0,0,0,0,0,1,0,0,1,0,0,0,1
"Conoclinium betonicifolium",0,0,0,1,0,0,0,0,0,0,0,0,1
"Conoclinium coelestinum",0,0,1,1,1,1,0,0,0,0,0,0,0
"Conoclinium dichotomum",0,0,0,1,0,1,0,0,0,0,0,0,0
"Conoclinium dissectum",0,1,0,1,0,0,0,0,0,0,0,0,1
"Conoclinium mayfieldii",0,0,0,0,0,0,0,0,0,0,0,0,1
"Conoclinium oligolepis",0,0,0,1,0,0,0,0,0,0,0,0,0
"Conopholis alpina",0,1,0,1,0,0,0,0,0,0,0,0,1
"Conopholis americana",0,0,1,0,1,1,0,0,0,1,1,0,0
"Conostegia arborea",0,0,0,0,0,0,0,0,0,0,0,0,1
"Conostegia caelestis",0,0,0,0,0,0,0,0,0,0,0,0,1
"Conostegia hirtella",0,0,0,0,0,0,0,0,0,0,0,0,1
"Conostegia jaliscana",0,0,0,0,0,0,0,0,0,0,0,0,1
"Conostegia montana",0,0,0,0,0,0,0,0,0,0,0,0,1
"Conostegia plumosa",0,0,0,0,0,0,0,0,0,0,0,0,1
"Conostegia rufescens",0,0,0,0,0,0,0,0,1,0,0,0,0
"Conostegia superba",0,0,0,0,0,0,0,0,0,0,0,0,1
"Conostegia volcanalis",0,0,0,0,0,0,0,0,0,0,0,0,1
"Conostegia xalapensis",0,0,0,0,0,0,0,0,0,0,0,0,1
"Conradina brevifolia",0,0,0,0,0,1,0,0,0,0,0,0,0
"Conradina canescens",0,0,0,0,0,1,0,0,0,0,0,0,0
"Conradina cygniflora",0,0,0,0,0,1,0,0,0,0,0,0,0
"Conradina etonia",0,0,0,0,0,1,0,0,0,0,0,0,0
"Conradina glabra",0,0,0,0,0,1,0,0,0,0,0,0,0
"Conradina grandiflora",0,0,0,0,0,1,0,0,0,0,0,0,0
"Conradina verticillata",0,0,0,0,1,1,0,0,0,0,0,0,0
"Consolea corallicola",0,0,0,0,0,1,0,0,0,0,0,0,0
"Consolea moniliformis",0,0,0,0,0,0,0,0,1,0,0,0,0
"Consolea nashii",0,0,0,0,0,0,0,0,1,0,0,0,0
"Consolea rubescens",0,0,0,0,0,0,0,0,1,0,0,0,0
"Constancea nevinii",0,1,0,0,0,0,0,0,0,0,0,0,0
"Convallaria pseudomajalis",0,0,0,0,1,1,0,0,0,0,0,0,0
"Convolvulus carrii",0,0,0,1,0,0,0,0,0,0,0,0,0
"Convolvulus equitans",0,1,0,1,0,0,0,0,0,0,0,0,1
"Convolvulus simulans",0,1,0,0,0,0,0,0,0,0,0,0,1
"Conzattia chiapensis",0,0,0,0,0,0,0,0,0,0,0,0,1
"Conzattia multiflora",0,0,0,0,0,0,0,0,0,0,0,0,1
"Coprosma cordicarpa",0,0,0,0,0,0,0,1,0,0,0,0,0
"Coprosma cymosa",0,0,0,0,0,0,0,1,0,0,0,0,0
"Coprosma elliptica",0,0,0,0,0,0,0,1,0,0,0,0,0
"Coprosma ernodeoides",0,0,0,0,0,0,0,1,0,0,0,0,0
"Coprosma foliosa",0,0,0,0,0,0,0,1,0,0,0,0,0
"Coprosma granadensis",0,0,0,0,0,0,0,1,0,0,0,0,1
"Coprosma kauensis",0,0,0,0,0,0,0,1,0,0,0,0,0
"Coprosma kawaikiniensis",0,0,0,0,0,0,0,1,0,0,0,0,0
"Coprosma longifolia",0,0,0,0,0,0,0,1,0,0,0,0,0
"Coprosma menziesii",0,0,0,0,0,0,0,1,0,0,0,0,0
"Coprosma montana",0,0,0,0,0,0,0,1,0,0,0,0,0
"Coprosma ochracea",0,0,0,0,0,0,0,1,0,0,0,0,0
"Coprosma pubens",0,0,0,0,0,0,0,1,0,0,0,0,0
"Coprosma rhynchocarpa",0,0,0,0,0,0,0,1,0,0,0,0,0
"Coprosma stephanocarpa",0,0,0,0,0,0,0,1,0,0,0,0,0
"Coprosma ternata",0,0,0,0,0,0,0,1,0,0,0,0,0
"Coprosma waimeae",0,0,0,0,0,0,0,1,0,0,0,0,0
"Coptidium lapponicum",0,0,1,0,1,0,1,0,0,1,1,1,0
"Coptidium pallasii",0,0,0,0,0,0,1,0,0,1,1,1,0
"Coptis aspleniifolia",1,0,0,0,0,0,1,0,0,1,0,0,0
"Coptis laciniata",1,1,0,0,0,0,0,0,0,0,0,0,0
"Coptis occidentalis",1,0,0,0,0,0,0,0,0,0,0,0,0
"Coptis trifolia",1,0,1,0,1,1,1,0,0,1,1,1,0
"Corallorhiza bentleyi",0,0,0,0,1,0,0,0,0,0,0,0,0
"Corallorhiza bulbosa",0,0,0,0,0,0,0,0,0,0,0,0,1
"Corallorhiza macrantha",0,0,0,0,0,0,0,0,0,0,0,0,1
"Corallorhiza maculata",1,1,1,1,1,1,0,0,0,1,1,0,1
"Corallorhiza mertensiana",1,1,0,0,0,0,1,0,0,1,0,0,0
"Corallorhiza odontorhiza",0,0,1,1,1,1,0,0,0,0,1,0,1
"Corallorhiza striata",1,1,1,1,1,0,0,0,0,1,1,0,1
"Corallorhiza trifida",1,1,1,0,1,0,1,0,0,1,1,1,0
"Corallorhiza williamsii",0,0,0,0,0,0,0,0,0,0,0,0,1
"Corallorhiza wisteriana",1,1,1,1,1,1,0,0,0,0,0,0,1
"Corchorus aestuans",0,0,0,0,0,0,0,0,1,0,0,0,1
"Corchorus hirsutus",0,0,0,0,0,0,0,0,1,0,0,0,0
"Corchorus hirtus",0,1,0,1,0,0,0,0,1,0,0,0,1
"Corchorus siliquosus",0,0,0,0,0,1,0,0,1,0,0,0,1
"Cordia alliodora",0,0,0,0,0,0,0,0,1,0,0,0,1
"Cordia bahamensis",0,0,0,0,0,1,0,0,0,0,0,0,0
"Cordia bellonis",0,0,0,0,0,0,0,0,1,0,0,0,0
"Cordia bicolor",0,0,0,0,0,0,0,0,0,0,0,0,1
"Cordia boissieri",0,0,0,1,0,0,0,0,0,0,0,0,1
"Cordia borinquensis",0,0,0,0,0,0,0,0,1,0,0,0,0
"Cordia colimensis",0,0,0,0,0,0,0,0,0,0,0,0,1
"Cordia collococca",0,0,0,0,0,0,0,0,1,0,0,0,1
"Cordia cordiformis",0,0,0,0,0,0,0,0,0,0,0,0,1
"Cordia curassavica",0,0,0,0,0,0,0,0,1,0,0,0,1
"Cordia dentata",0,0,0,0,0,0,0,0,1,0,0,0,1
"Cordia diversifolia",0,0,0,0,0,0,0,0,0,0,0,0,1
"Cordia dodecandra",0,0,0,0,0,0,0,0,0,0,0,0,1
"Cordia elaeagnoides",0,0,0,0,0,0,0,0,0,0,0,0,1
"Cordia eriostigma",0,0,0,0,0,0,0,0,0,0,0,0,1
"Cordia gerascanthus",0,0,0,0,0,0,0,0,0,0,0,0,1
"Cordia globosa",0,0,0,0,0,1,0,0,1,0,0,0,1
"Cordia globulifera",0,0,0,0,0,0,0,0,0,0,0,0,1
"Cordia gracilipes",0,0,0,0,0,0,0,0,0,0,0,0,1
"Cordia guerkeana",0,0,0,0,0,0,0,0,0,0,0,0,1
"Cordia igualensis",0,0,0,0,0,0,0,0,0,0,0,0,1
"Cordia laevigata",0,0,0,0,0,0,0,0,1,0,0,0,0
"Cordia lima",0,0,0,0,0,0,0,0,1,0,0,0,0
"Cordia macvaughii",0,0,0,0,0,0,0,0,0,0,0,0,1
"Cordia megalantha",0,0,0,0,0,0,0,0,0,0,0,0,1
"Cordia morelosana",0,0,0,0,0,0,0,0,0,0,0,0,1
"Cordia obliqua",0,0,0,0,0,0,0,0,0,0,0,0,1
"Cordia panamensis",0,0,0,0,0,0,0,0,0,0,0,0,1
"Cordia parvifolia",0,1,0,0,0,0,0,0,0,0,0,0,1
"Cordia podocephala",0,0,0,1,0,0,0,0,0,0,0,0,1
"Cordia polycephala",0,0,0,0,0,0,0,0,1,0,0,0,0
"Cordia prunifolia",0,0,0,0,0,0,0,0,0,0,0,0,1
"Cordia rickseckeri",0,0,0,0,0,0,0,0,1,0,0,0,0
"Cordia rupicola",0,0,0,0,0,0,0,0,1,0,0,0,0
"Cordia salvadorensis",0,0,0,0,0,0,0,0,0,0,0,0,1
"Cordia sebestena",0,0,0,0,0,0,0,0,0,0,0,0,1
"Cordia seleriana",0,0,0,0,0,0,0,0,0,0,0,0,1
"Cordia sonorae",0,0,0,0,0,0,0,0,0,0,0,0,1
"Cordia stellifera",0,0,0,0,0,0,0,0,0,0,0,0,1
"Cordia stenoclada",0,0,0,0,0,0,0,0,0,0,0,0,1
"Cordia sulcata",0,0,0,0,0,0,0,0,1,0,0,0,0
"Cordia tinifolia",0,0,0,0,0,0,0,0,0,0,0,0,1
"Cordia truncatifolia",0,0,0,0,0,0,0,0,0,0,0,0,1
"Cordia wagneriorum",0,0,0,0,0,0,0,0,1,0,0,0,0
"Cordylanthus capitatus",1,1,0,0,0,0,0,0,0,0,0,0,0
"Cordylanthus eremicus",0,1,0,0,0,0,0,0,0,0,0,0,0
"Cordylanthus kingii",0,1,0,0,0,0,0,0,0,0,0,0,0
"Cordylanthus laxiflorus",0,1,0,0,0,0,0,0,0,0,0,0,0
"Cordylanthus nevinii",0,1,0,0,0,0,0,0,0,0,0,0,1
"Cordylanthus nidularius",0,1,0,0,0,0,0,0,0,0,0,0,0
"Cordylanthus parviflorus",1,1,0,0,0,0,0,0,0,0,0,0,0
"Cordylanthus pilosus",0,1,0,0,0,0,0,0,0,0,0,0,0
"Cordylanthus pringlei",0,1,0,0,0,0,0,0,0,0,0,0,0
"Cordylanthus ramosus",1,1,0,0,0,0,0,0,0,0,0,0,0
"Cordylanthus rigidus",0,1,0,0,0,0,0,0,0,0,0,0,1
"Cordylanthus tenuis",1,1,0,0,0,0,0,0,0,0,0,0,0
"Cordylanthus wrightii",0,1,0,1,0,0,0,0,0,0,0,0,1
"Corema conradii",0,0,0,0,1,0,0,0,0,0,1,0,0
"Coreocarpus arizonicus",0,1,0,0,0,0,0,0,0,0,0,0,1
"Coreocarpus congregatus",0,0,0,0,0,0,0,0,0,0,0,0,1
"Coreocarpus dissectus",0,0,0,0,0,0,0,0,0,0,0,0,1
"Coreocarpus insularis",0,0,0,0,0,0,0,0,0,0,0,0,1
"Coreocarpus ixtapanus",0,0,0,0,0,0,0,0,0,0,0,0,1
"Coreocarpus parthenioides",0,0,0,0,0,0,0,0,0,0,0,0,1
"Coreocarpus sonoranus",0,0,0,0,0,0,0,0,0,0,0,0,1
"Coreopsis aristulata",0,0,0,0,0,1,0,0,0,0,0,0,0
"Coreopsis auriculata",0,0,0,1,1,1,0,0,0,0,0,0,0
"Coreopsis bakeri",0,0,0,0,0,1,0,0,0,0,0,0,0
"Coreopsis basalis",0,0,0,1,0,1,0,0,0,0,0,0,0
"Coreopsis bolanosana",0,0,0,0,0,0,0,0,0,0,0,0,1
"Coreopsis crawfordii",0,0,0,0,0,0,0,0,0,0,0,0,1
"Coreopsis davilae",0,0,0,0,0,0,0,0,0,0,0,0,1
"Coreopsis delphiniifolia",0,0,0,0,1,1,0,0,0,0,0,0,0
"Coreopsis falcata",0,0,0,0,1,1,0,0,0,0,0,0,0
"Coreopsis floridana",0,0,0,0,0,1,0,0,0,0,0,0,0
"Coreopsis gladiata",0,0,0,0,0,1,0,0,0,0,0,0,0
"Coreopsis grandiflora",0,1,1,1,1,1,0,0,0,0,0,0,0
"Coreopsis guanajuatensis",0,0,0,0,0,0,0,0,0,0,0,0,1
"Coreopsis integrifolia",0,0,0,0,0,1,0,0,0,0,0,0,0
"Coreopsis intermedia",0,0,0,1,0,0,0,0,0,0,0,0,0
"Coreopsis lanceolata",0,0,1,1,1,1,0,0,0,0,1,0,0
"Coreopsis latifolia",0,0,0,0,0,1,0,0,0,0,0,0,0
"Coreopsis leavenworthii",0,0,0,0,0,1,0,0,0,0,0,0,0
"Coreopsis linifolia",0,0,0,1,1,1,0,0,0,0,0,0,0
"Coreopsis major",0,0,0,1,1,1,0,0,0,0,0,0,0
"Coreopsis mcvaughii",0,0,0,0,0,0,0,0,0,0,0,0,1
"Coreopsis nudata",0,0,0,1,0,1,0,0,0,0,0,0,0
"Coreopsis nuecensis",0,0,0,1,0,0,0,0,0,0,0,0,1
"Coreopsis nuecensoides",0,0,0,1,0,0,0,0,0,0,0,0,0
"Coreopsis oaxacensis",0,0,0,0,0,0,0,0,0,0,0,0,1
"Coreopsis palmata",0,0,1,1,1,0,0,0,0,1,0,0,0
"Coreopsis paludosa",0,0,0,0,0,0,0,0,0,0,0,0,1
"Coreopsis palustris",0,0,0,0,0,1,0,0,0,0,0,0,0
"Coreopsis petrophila",0,0,0,0,0,0,0,0,0,0,0,0,1
"Coreopsis petrophiloides",0,0,0,0,0,0,0,0,0,0,0,0,1
"Coreopsis pringlei",0,0,0,0,0,0,0,0,0,0,0,0,1
"Coreopsis pubescens",0,0,1,1,1,1,0,0,0,0,0,0,0
"Coreopsis pulchra",0,0,0,0,0,1,0,0,0,0,0,0,0
"Coreopsis queretarensis",0,0,0,0,0,0,0,0,0,0,0,0,1
"Coreopsis rhyacophila",0,0,0,0,0,0,0,0,0,0,0,0,1
"Coreopsis rosea",0,0,0,0,1,1,0,0,0,0,1,0,0
"Coreopsis rudis",0,0,0,0,0,0,0,0,0,0,0,0,1
"Coreopsis tinctoria",1,1,1,1,1,1,0,0,0,1,0,0,1
"Coreopsis tripteris",0,0,1,1,1,1,0,0,0,0,1,0,0
"Coreopsis verticillata",0,0,0,0,1,1,0,0,0,0,0,0,0
"Corethrogyne filaginifolia",1,1,0,0,0,0,0,0,0,0,0,0,1
"Coriaria ruscifolia",0,0,0,0,0,0,0,0,0,0,0,0,1
"Corispermum americanum",1,1,1,1,1,0,0,0,0,1,1,1,1
"Corispermum hookeri",1,0,0,0,0,0,0,0,0,1,1,1,0
"Corispermum navicula",0,1,0,0,0,0,0,0,0,0,0,0,0
"Corispermum ochotense",0,0,0,0,0,0,1,0,0,1,0,1,0
"Corispermum pacificum",1,0,0,0,0,0,0,0,0,0,0,0,0
"Corispermum pallasii",0,0,1,0,1,0,0,0,0,1,1,1,0
"Corispermum pallidum",1,0,0,0,0,0,0,0,0,0,0,0,0
"Corispermum villosum",1,1,1,0,1,0,0,0,0,1,0,0,0
"Corispermum welshii",1,1,1,1,0,0,0,0,0,0,0,0,0
"Cornus alba",1,1,1,0,1,0,1,0,0,1,1,1,1
"Cornus alternifolia",0,0,1,1,1,1,0,0,0,1,1,0,0
"Cornus amomum",0,0,0,0,1,1,0,0,0,0,0,0,0
"Cornus asperifolia",0,0,0,0,0,1,0,0,0,0,0,0,0
"Cornus canadensis",1,1,1,0,1,0,1,0,0,1,1,1,0
"Cornus disciflora",0,0,0,0,0,0,0,0,0,0,0,0,1
"Cornus drummondii",0,0,1,1,1,1,0,0,0,0,1,0,0
"Cornus excelsa",0,0,0,0,0,0,0,0,0,0,0,0,1
"Cornus florida",0,0,1,1,1,1,0,0,0,0,1,0,1
"Cornus foemina",0,0,1,1,1,1,0,0,0,0,0,0,0
"Cornus glabrata",1,1,0,0,0,0,0,0,0,0,0,0,0
"Cornus nuttallii",1,1,0,0,0,0,0,0,0,1,0,0,0
"Cornus obliqua",0,0,1,1,1,1,0,0,0,0,1,0,0
"Cornus racemosa",0,0,1,1,1,1,0,0,0,1,1,0,0
"Cornus rugosa",0,0,1,0,1,0,0,0,0,1,1,0,0
"Cornus sessilis",0,1,0,0,0,0,0,0,0,0,0,0,0
"Cornus suecica",0,0,0,0,0,0,1,0,0,1,1,1,0
"Cornus unalaschkensis",1,1,0,0,0,0,1,0,0,1,0,1,0
"Cornutia obovata",0,0,0,0,0,0,0,0,1,0,0,0,0
"Cornutia pyramidata",0,0,0,0,0,0,0,0,1,0,0,0,1
"Corrigiola andina",0,0,0,0,0,0,0,0,0,0,0,0,1
"Coryanthes picturata",0,0,0,0,0,0,0,0,0,0,0,0,1
"Corydalis arctica",0,0,0,0,0,0,1,0,0,1,0,1,0
"Corydalis aurea",1,1,1,1,1,0,1,0,0,1,1,1,1
"Corydalis caseana",1,1,0,0,0,0,0,0,0,0,0,0,0
"Corydalis crystallina",0,0,1,1,0,0,0,0,0,0,0,0,0
"Corydalis curvisiliqua",0,0,1,1,1,0,0,0,0,0,0,0,1
"Corydalis flavula",0,0,1,1,1,1,0,0,0,0,1,0,0
"Corydalis micrantha",0,0,1,1,1,1,0,0,0,0,0,0,1
"Corydalis pseudomicrantha",0,0,0,0,0,0,0,0,0,0,0,0,1
"Corydalis scouleri",1,0,0,0,0,0,0,0,0,1,0,0,0
"Corylus americana",0,0,1,1,1,1,0,0,0,1,1,0,0
"Corylus cornuta",1,1,1,0,1,1,0,0,0,1,1,0,0
"Corymborkis forcipigera",0,0,0,0,0,0,0,0,1,0,0,0,1
"Corynandra viscosa",0,0,0,0,0,0,0,0,1,0,0,0,1
"Corynopuntia aggeria",0,0,0,1,0,0,0,0,0,0,0,0,0
"Corynopuntia clavata",0,1,0,0,0,0,0,0,0,0,0,0,0
"Corynopuntia densispina",0,0,0,1,0,0,0,0,0,0,0,0,0
"Corynopuntia emoryi",0,1,0,1,0,0,0,0,0,0,0,0,1
"Corynopuntia grahamii",0,1,0,1,0,0,0,0,0,0,0,0,1
"Corynopuntia kunzei",0,1,0,0,0,0,0,0,0,0,0,0,1
"Corynopuntia parishii",0,1,0,0,0,0,0,0,0,0,0,0,0
"Corynopuntia pulchella",0,1,0,0,0,0,0,0,0,0,0,0,0
"Corynopuntia schottii",0,0,0,1,0,0,0,0,0,0,0,0,1
"Coryphantha clavata",0,0,0,0,0,0,0,0,0,0,0,0,1
"Coryphantha compacta",0,0,0,0,0,0,0,0,0,0,0,0,1
"Coryphantha cornifera",0,0,0,0,0,0,0,0,0,0,0,0,1
"Coryphantha delaetiana",0,0,0,0,0,0,0,0,0,0,0,0,1
"Coryphantha delicata",0,0,0,0,0,0,0,0,0,0,0,0,1
"Coryphantha difficilis",0,0,0,0,0,0,0,0,0,0,0,0,1
"Coryphantha durangensis",0,0,0,0,0,0,0,0,0,0,0,0,1
"Coryphantha echinoidea",0,0,0,0,0,0,0,0,0,0,0,0,1
"Coryphantha echinus",0,0,0,1,0,0,0,0,0,0,0,0,1
"Coryphantha elephantidens",0,0,0,0,0,0,0,0,0,0,0,0,1
"Coryphantha erecta",0,0,0,0,0,0,0,0,0,0,0,0,1
"Coryphantha georgii",0,0,0,0,0,0,0,0,0,0,0,0,1
"Coryphantha glanduligera",0,0,0,0,0,0,0,0,0,0,0,0,1
"Coryphantha glassii",0,0,0,0,0,0,0,0,0,0,0,0,1
"Coryphantha gracilis",0,0,0,0,0,0,0,0,0,0,0,0,1
"Coryphantha hintoniorum",0,0,0,0,0,0,0,0,0,0,0,0,1
"Coryphantha jalpanensis",0,0,0,0,0,0,0,0,0,0,0,0,1
"Coryphantha kracikii",0,0,0,0,0,0,0,0,0,0,0,0,1
"Coryphantha longicornis",0,0,0,0,0,0,0,0,0,0,0,0,1
"Coryphantha macromeris",0,1,0,1,0,0,0,0,0,0,0,0,1
"Coryphantha maiz-tablasensis",0,0,0,0,0,0,0,0,0,0,0,0,1
"Coryphantha neglecta",0,0,0,0,0,0,0,0,0,0,0,0,1
"Coryphantha nickelsiae",0,0,0,1,0,0,0,0,0,0,0,0,1
"Coryphantha octacantha",0,0,0,0,0,0,0,0,0,0,0,0,1
"Coryphantha ottonis",0,0,0,0,0,0,0,0,0,0,0,0,1
"Coryphantha pallida",0,0,0,0,0,0,0,0,0,0,0,0,1
"Coryphantha poselgeriana",0,0,0,0,0,0,0,0,0,0,0,0,1
"Coryphantha potosiana",0,0,0,0,0,0,0,0,0,0,0,0,1
"Coryphantha pottsiana",0,0,0,1,0,0,0,0,0,0,0,0,0
